playlist,category,weight
Alex The Analyst Show,Alex The Analyst Show,2
All Things Analyst Builder,All Things Analyst Builder,3
AWS Fundamentals for Analysts,AWS Fundamentals for Analysts,4
Azure Fundamentals for Analysts,Azure Fundamentals for Analysts,5
Data Analyst Bootcamp,Data Analyst Bootcamp,1
Data Analyst Courses,Data Analyst Courses,6
Data Analyst Interview Questions,Data Analyst Interview,7
SQL Technical Interview Prep,Data Analyst Interview,7
Data Analyst Portfolio Projects,Data Analyst Portfolio Projects,8
Data Analyst Q&A,Data Analyst Q&A,9
Data Analyst Resume,Data Analyst Resume,10
Data Fundamentals for Beginners,Data Fundamentals,11
Excel Tutorials for Data Analysts,Excel Tutorials,12
Intermediate MySQL Tutorial Series,MySQL Tutorial Series,13
MySQL Basics Tutorial Series,MySQL Tutorial Series,13
Advanced MySQL Tutorial Series,MySQL Tutorial Series,13
Power BI Tutorials for Beginners,Power BI Tutorials,14
Pandas for Beginners,Python Tutorials,15
Python Projects for Beginners,Python Tutorials,15
Learn Shiny for Python,Python Tutorials,15
Python for Beginners,Python Tutorials,15
Python Regular Expression,Python Tutorials,15
Python Web Scraping Basics,Python Tutorials,15
Advanced SQL Tutorials,SQL Tutorials,16
Intermediate SQL Tutorials,SQL Tutorials,16
SQL Basics for Data Analysts,SQL Tutorials,16
Tableau Tutorials For Beginners,Tableau Tutorials,17
